"first_name" "second_name" "last_name" "subject" "mark" "score"
"Денис" "Витальевич" "Воропаев" "Информатика" "10" "98"
"Дима" "Янович" "Коровкин" "Информатика" "4" "11"
"Никита" "Алексеевич" "Бондаренко" "Математика" "5" "28"
"Антон" "Андреевич" "Иванов" "Русския язык" "7" "78"
"Новак" "Алексеевич" "Джокович" "Математика" "7" "51"
"Александр" "Николаевич" "Овечкин" "Английский язык" "9" "86"
"Рафа" "Витальевич" "Надаль" "Белорусский язык" "10" "8"
"Ян" "Денисович" "Макаров" "Биология" "8" "55"
"Як" "Антонович" "Макаров" "Белорусский язык" "5" "34"
"Яна" "Денисович" "Макарова" "Биология" "8" "90"
